# threads, bench_type, bench_mode, elapsed_ns, latency_ns, elapsed_clock_ns, clock_ns_per_iter
26, refcount, fetch_sub, 36926677.000000, 36.9266770000, 667710000.000000, 667.710000
26, refcount, cmpxchg_strong, 53046631.000000, 53.0466310000, 950346000.000000, 950.346000
26, refcount, cmpxchg_weak, 54963236.000000, 54.9632360000, 1006588000.000000, 1006.588000
26, refcount, std::shared_ptr, 30113923.000000, 30.1139230000, 560350000.000000, 560.350000
26, spinlock, fetch_or, 271322816.000000, 271.3228160000, 5947672000.000000, 5947.672000
26, spinlock, cmpxchg_strong, 71551585.000000, 71.5515850000, 1211934000.000000, 1211.934000
26, spinlock, cmpxchg_strong_pause, 89097787.000000, 89.0977870000, 1591908000.000000, 1591.908000
26, spinlock, cmpxchg_weak, 74917182.000000, 74.9171820000, 1551101000.000000, 1551.101000
26, spinlock, cmpxchg_weak_pause, 102743365.000000, 102.7433650000, 2080591000.000000, 2080.591000
26, spinlock, std::mutex, 77339729.000000, 77.3397290000, 1851976000.000000, 1851.976000
27, refcount, fetch_sub, 38729359.000000, 38.7293590000, 739535000.000000, 739.535000
27, refcount, cmpxchg_strong, 60058062.000000, 60.0580620000, 1171666000.000000, 1171.666000
27, refcount, cmpxchg_weak, 54591871.000000, 54.5918710000, 1082391000.000000, 1082.391000
27, refcount, std::shared_ptr, 44746255.000000, 44.7462550000, 842849000.000000, 842.849000
27, spinlock, fetch_or, 460672457.000000, 460.6724570000, 10247593000.000000, 10247.593000
27, spinlock, cmpxchg_strong, 104694629.000000, 104.6946290000, 2140576000.000000, 2140.576000
27, spinlock, cmpxchg_strong_pause, 102439773.000000, 102.4397730000, 2000135000.000000, 2000.135000
27, spinlock, cmpxchg_weak, 93399571.000000, 93.3995710000, 1886812000.000000, 1886.812000
27, spinlock, cmpxchg_weak_pause, 93583080.000000, 93.5830800000, 1871861000.000000, 1871.861000
27, spinlock, std::mutex, 83587487.000000, 83.5874870000, 1959006000.000000, 1959.006000
28, refcount, fetch_sub, 39316277.000000, 39.3162770000, 793458000.000000, 793.458000
28, refcount, cmpxchg_strong, 69570203.000000, 69.5702030000, 1373413000.000000, 1373.413000
28, refcount, cmpxchg_weak, 62165719.000000, 62.1657190000, 1251380000.000000, 1251.380000
28, refcount, std::shared_ptr, 48654100.000000, 48.6541000000, 962255000.000000, 962.255000
28, spinlock, fetch_or, 431253820.000000, 431.2538200000, 9121139000.000000, 9121.139000
28, spinlock, cmpxchg_strong, 101047729.000000, 101.0477290000, 2073681000.000000, 2073.681000
28, spinlock, cmpxchg_strong_pause, 110010968.000000, 110.0109680000, 2196759000.000000, 2196.759000
28, spinlock, cmpxchg_weak, 90764864.000000, 90.7648640000, 2058338000.000000, 2058.338000
28, spinlock, cmpxchg_weak_pause, 89273153.000000, 89.2731530000, 1720465000.000000, 1720.465000
28, spinlock, std::mutex, 83502738.000000, 83.5027380000, 2125993000.000000, 2125.993000
29, refcount, fetch_sub, 37367968.000000, 37.3679680000, 736201000.000000, 736.201000
29, refcount, cmpxchg_strong, 63295503.000000, 63.2955030000, 1254731000.000000, 1254.731000
29, refcount, cmpxchg_weak, 54653670.000000, 54.6536700000, 1132098000.000000, 1132.098000
29, refcount, std::shared_ptr, 42796685.000000, 42.7966850000, 845864000.000000, 845.864000
29, spinlock, fetch_or, 455413563.000000, 455.4135630000, 12157903000.000000, 12157.903000
29, spinlock, cmpxchg_strong, 88463595.000000, 88.4635950000, 1773401000.000000, 1773.401000
